Economy,region,incomegroup,Year,Ease_of_Doing_Business_Rank,Overall_DTF,Starting_a_Business_Rank,Starting_a_Business_DTF,Starting_a_Business_Procedure_Men_(number),Starting_a_Business_Time_Men_(days),Starting_a_Business_Cost_Men_(%_of_income_per_capita),Starting_a_Business_Procedure_Women_(number),Starting_a_Business_Time_Women_(days),Starting_a_Business_Cost_Women_(%_of_income_per_capita),Starting_a_Business_Paid_in_min._capital_(%_of_income_per_capita),Dealing_with_Construction_Permits_Rank,Dealing_with_Construction_Permits_DTF,Dealing_with_Construction_Permits_Procedures_(number),Dealing_with_Construction_Permits_Time_(days),Dealing_with_Construction_Permits_Cost_(%_of_warehouse_value),Dealing_with_Construction_Permits_Building_quality_control_index_(0_15),Dealing_with_Construction_Permits_Quality_of_building_regulations_index_(0_2),Dealing_with_Construction_Permits_Quality_control_before_construction_index_(0_1),Dealing_with_Construction_Permits_Quality_control_during_construction_index_(0_3),Dealing_with_Construction_Permits_Quality_control_after_construction_index_(0_3),Dealing_with_Construction_Permits_Liability_and_insurance_regimes_index_(0_2),Dealing_with_Construction_Permits_Professional_certifications_index_(0_4),Getting_Electricity_Rank,Getting_Electricity_DTF,Getting_Electricity_Procedures_(number),Getting_Electricity_Time_(days),Getting_Electricity_Cost_(%_of_income_per_capita),Getting_Electricity_Reliability_of_supply_and_transparency_of_tariff_index_(0_8),Getting_Electricity_Total_duration_and_frequency_of_outages_per_customer_a_year_(0_3),Getting_Electricity_Mechanisms_for_monitoring_outages_(0_1),Getting_Electricity_Mechanisms_for_restoring_service_(0_1),Getting_Electricity_Regulatory_monitoring_(0_1),Getting_Electricity_Financial_deterrents_aimed_at_limiting_outages_(0_1),Getting_Electricity_Communication_of_tariffs_and_tariff_changes_(0_1),Getting_Electricity_Price_of_electricity_(US_cents_per_kWh),Registering_Property_Rank,Registering_Property_DTF,Registering_Property_Procedures_(number),Registering_Property_Time_(days),Registering_Property_Cost_(%_of_property_value),Registering_Property_Quality_of_the_land_administration_index_(0_30),Registering_Property_Reliability_of_infrastructure_index_(0_8),Registering_Property_Transparency_of_information_index_(0_6),Registering_Property_Geographic_coverage_index_(0_8),Registering_Property_Land_dispute_resolution_index_(0_8),Registering_Property_Equal_access_to_property_rights_index_(_2_0),Getting_Credit_Rank,Getting_Credit_DTF,Getting_Credit_Strength_of_legal_rights_index_(0_12),Getting_Credit_Strength_of_legal_rights_index_(0_10)_old_methodology,Getting_Credit_Depth_of_credit_information_index_(0_8),Getting_Credit_Depth_of_credit_information_index_(0_6)_old_methodology,Getting_Credit_Credit_registry_coverage_(%_of_adults),Getting_Credit_Credit_bureau_coverage_(%_of_adults),Protecting_Minority_Investors_Rank,Protecting_Minority_Investors_DTF,Protecting_Minority_Investors_Strength_of_minority_investor_protection_index_(0_10),Protecting_Minority_Investors_Strength_of_investor_protection_index_(0_10)_old_methodology,Protecting_Minority_Investors_Extent_of_conflict_of_interest_regulation_index_(0_10),Protecting_Minority_Investors_Extent_of_disclosure_index_(0_10),Protecting_Minority_Investors_Extent_of_director_liability_index_(0_10),Protecting_Minority_Investors_Ease_of_shareholder_suits_index_(0_10),Protecting_Minority_Investors_Ease_of_shareholder_suits_index_(0_10)_old_methodology,Protecting_Minority_Investors_Extent_of_shareholder_governance_index_(0_10),Protecting_Minority_Investors_Extent_of_shareholder_rights_index_(0_10),Protecting_Minority_Investors_Extent_of_ownership_and_control_index_(0_10),Protecting_Minority_Investors_Extent_of_corporate_transparency_index_(0_10),Paying_Taxes_Rank,Paying_Taxes_Postfiling_index_(0_100),Paying_Taxes_DTF,Paying_Taxes_Payments_(number_per_year),Paying_Taxes_Time_(hours_per_year),Paying_Taxes_Total_tax_rate_(%_of_profit),Paying_Taxes_Profit_tax_(%_of_profit),Paying_Taxes_Labor_tax_and_contributions_(%_of_profit),Paying_Taxes_Other_taxes_(%_of_profit),Paying_Taxes_Administrative_appeal_process,Trading_across_Borders_Rank,Trading_across_Borders_DTF,Trading_across_Borders_Time_to_export:_Border_compliance_(hours),Trading_across_Borders_Cost_to_export:_Border_compliance_(USD),Trading_across_Borders_Time_to_export:_Documentary_compliance_(hours),Trading_across_Borders_Cost_to_export:_Documentary_compliance_(USD),Trading_across_Borders_Time_to_import:_Border_compliance_(hours),Trading_across_Borders_Cost_to_import:_Border_compliance_(USD),Trading_across_Borders_Time_to_import:_Documentary_compliance_(hours),Trading_across_Borders_Cost_to_import:_Documentary_compliance_(USD),Trading_across_Borders_Documents_to_export_(number)_old_methodology,Trading_across_Borders_Time_to_export_(days)_old_methodology,Trading_across_Borders_Cost_to_export_(US$_per_container)_old_methodology,Trading_across_Borders_Documents_to_import_(number)_old_methodology,Trading_across_Borders_Time_to_import_(days)_old_methodology,Trading_across_Borders_Cost_to_import_(US$_per_container)_old_methodology,Enforcing_Contracts_Rank,Enforcing_Contracts_DTF,Enforcing_Contracts_Time_(days),Enforcing_Contracts_Cost_(%_of_claim),Enforcing_Contracts_Quality_of_judicial_processes_index_(0_18),Resolving_Insolvency_Rank,Resolving_Insolvency_DTF,Resolving_Insolvency_Recovery_rate_(cents_on_the_dollar),Resolving_Insolvency_Time_(years),Resolving_Insolvency_Cost_(%_of_estate),Resolving_Insolvency_Outcome_(0_as_piecemeal_sale_and_1_as_going_concern),Resolving_Insolvency_Strength_of_insolvency_framework_index_(0_16),Resolving_Insolvency_Commencement_of_proceedings_index_(0_3),Resolving_Insolvency_Management_of_debtor's_assets_index_(0_6),Resolving_Insolvency_Reorganization_proceedings_index_(0_3),Resolving_Insolvency_Creditor_participation_index_(0_4)
Afghanistan,South Asia,Low income,DB2005,,,,83.59,4,9,72,5,10,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.33,11,252,7,,,,,,,,6.25,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75,1642,29,,,0,0,N/A,N/A,N/A,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2017,58,68.9,46,91.73,5,5,10.1,5,5,10.1,0,106,67.61,16,220,3.3,13,2,1,2,3,2,3,156,48.3,6,134,515.5,0,0,0,0,1,1,1,9.6,106,58.77,6,19,9.9,15.5,6,2.5,0,7,0,44,65,7,,6,,38.9,0,19,71.67,7.2,,7.7,9,7,7,,6.7,7,6,7,97,83,70.96,34,261,36.5,14.1,18.8,3.6,N/A,24,96.29,9,55,6,10,10,77,8,10,,,,,,,116,53.66,525,34.9,6,43,64.96,42.3,2,10,0,13.5,3,5.5,3,2
Albania,Europe & Central Asia,Upper middle income,DB2016,90,61.3,42,91.69,5,5,10.3,5,5,10.3,0,186,0,N/A,N/A,N/A,0,2,1,2,3,2,2,164,43.67,6,177,499.8,0,0,0,0,1,1,1,10.2,107,58.06,6,22,10.2,15.5,6,2.5,0,7,N/A,42,65,7,,6,,27.1,0,15,71.67,7.2,,7.7,9,7,7,,6.7,7,6,7,109,83,67.25,34,357,36.5,14.1,18.8,3.6,,22,96.97,8,30,6,10,9,52,8,10,,,,,,,113,53.66,525,34.9,6,42,64.98,42.3,2,10,0,13.5,3,5.5,3,2
Albania,Europe & Central Asia,Upper middle income,DB2015,,66.56,,91.73,5,5,10.1,5,5,10.1,0,,59.21,20,258,3.3,12,2,1,2,3,2,2,,43.75,6,177,474,0,0,0,0,1,1,1,9.5,,58.42,6,22,9.9,15.5,6,2.5,0,7,,,65,7,,6,,16.7,0,,68.33,6.8,,7,7,7,7,7,6.7,7,6,7,,,64.47,34,357,31.4,9.5,18.8,3.1,,,96.5,14,30,6,10,9,52,8,10,7,19,745,8,18,730,,53.66,525,34.9,6,,64.5,41.5,2,10,0,13.5,3,5.5,3,2
Albania,Europe & Central Asia,Upper middle income,DB2014,,59.53,,90.34,5,5,21.2,5,5,21.2,0,,0,N/A,N/A,N/A,,,,,,,,,58.05,6,177,543.3,,,,,,,,,,56.31,6,33,11.1,,,,,,,,87.5,8,9,6,5,13.1,0,,70,6.8,7,7,7,7,7,7,6.7,7,6,7,,,59.94,42,357,31.5,8.6,25.3,,,,72.55,,,,,,,,,7,19,745,8,18,730,,56.84,525,35.7,,,64.08,40.7,,10,0,13.5,3,5.5,3,2
Albania,Europe & Central Asia,Upper middle income,DB2013,,59.06,,90.19,5,5,22.4,5,5,22.4,0,,0,N/A,N/A,N/A,,,,,,,,,57.93,6,177,573.7,,,,,,,,,,55.58,6,33,11.4,,,,,,,,87.5,,9,,5,19.7,0,,70,,7,,7,7,,7,,,,,,,55.5,44,357,38.5,,,,,,72.41,,,,,,,,,7,19,745,8,18,730,,58.89,450,35.7,,,42.58,39.6,,10,0,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2012,,58.83,,87.6,6,6,29.3,6,6,29.3,0,,0,N/A,N/A,N/A,,,,,,,,,57.88,6,177,585.6,,,,,,,,,,54.41,6,33,12,,,,,,,,87.5,,9,,5,17,0,,70,,7,,7,7,,7,,,,,,,54.87,44,371,38.3,,,,,,72.26,,,,,,,,,7,19,745,8,18,730,,60.52,390,35.7,,,43.29,40.2,,10,0,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2011,,62.09,,87.29,6,6,31.8,6,6,31.8,0,,40.59,22,350,3.4,,,,,,,,,57.76,6,177,614.9,,,,,,,,,,48.63,6,42,13.9,,,,,,,,87.5,,9,,5,12.3,0,,70,,7,,7,7,,7,,,,,,,54.49,44,360,40.3,,,,,,72.22,,,,,,,,,7,19,725,8,18,710,,60.52,390,35.7,,,41.89,38.9,,10,,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2010,,61.92,,87.24,6,6,32.2,6,6,32.2,0,,40.59,22,350,3.4,,,,,,,,,57.76,6,177,614.5,,,,,,,,,,50.55,6,42,13.1,,,,,,,,87.5,,9,,5,9.9,0,,70,,7,,7,7,,7,,,,,,,52.43,44,368,43.6,,,,,,72.1,,,,,,,,,7,19,725,8,18,710,,59.4,390,38.7,,,41.67,38.7,,10,,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2009,,,,82,8,10,42.5,8,10,42.5,0,,40.52,22,350,3.4,,,,,,,,,,,,,,,,,,,,,,47.5,6,42,14.4,,,,,,,,87.5,,9,,5,6.8,0,,70,,7,,7,7,,7,,,,,,,49.45,44,368,49.6,,,,,,69.69,,,,,,,,,7,21,770,8,22,775,,59.4,390,38.7,,,41.67,38.7,,10,,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2008,,,,68.21,11,37,46.1,11,37,46.1,34.3,,40.52,22,350,3.4,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,15.2,,,,,,,,56.25,,9,,0,0,0,,23.33,,2.3,,0,4,,3,,,,,,,48.74,44,364,51.3,,,,,,69.77,,,,,,,,,7,21,745,8,22,750,,59.4,390,38.7,,,39.59,36.8,,10,,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2007,,,,69.04,12,39,22.5,12,39,22.5,36.7,,30.69,22,351,9.3,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,16.2,,,,,,,,56.25,,9,,0,0,0,,23.33,,2.3,,0,4,,3,,,,,,,46.05,44,364,56.5,,,,,,69.08,,,,,,,,,7,21,818,8,22,820,,59.4,390,38.7,,,42.09,39.1,,10,,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2006,,,,67.25,12,41,31.3,12,41,31.3,39.9,,40.32,22,351,3.5,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,17.4,,,,,,,,56.25,,9,,0,0,0,,26.67,,2.7,,0,5,,3,,,,,,,44.58,45,364,58.2,,,,,,68.85,,,,,,,,,7,21,818,8,22,820,,59.4,390,38.7,,,43.09,40,,10,,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2005,,,,67.28,12,40,32.3,12,40,32.3,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,17.9,,,,,,,,56.25,,9,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,390,38.7,,,41.22,38.3,,10,,,,,,
Albania,Europe & Central Asia,Upper middle income,DB2004,,,,63.68,12,41,57.1,12,41,57.1,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,390,38.7,,,40.49,37.6,,10,,,,,,
Angola,Sub-Saharan Africa,Upper middle income,DB2017,182,38.41,144,77.34,8,36,27.5,8,36,27.5,0,111,66.51,10,203,0.6,6,1,1,0,2,1,1,171,40.84,7,145,1195.7,0,0,0,0,0,0,0,7.6,170,40.64,7,190,3,7,1,2,0,4,0,181,5,1,,0,,1.9,0,81,55,5.5,,5.3,4,6,6,,5.7,7,6,4,157,28,53.23,31,287,48,20.4,9,17.7,N/A,183,19.27,240,735,169,240,276,935,180,460,,,,,,,186,26.26,1296,44.4,4.5,169,0,0,N/A,N/A,N/A,0,2,4,0,0
Angola,Sub-Saharan Africa,Upper middle income,DB2016,181,38.46,139,76.79,8,36,22.5,8,36,22.5,18.9,107,66.65,10,203,0.5,6,1,1,0,2,1,1,167,42.63,7,145,615,0,0,0,0,0,0,0,4.6,168,40.87,7,190,2.9,7,1,2,0,4,N/A,181,5,1,,0,,3.3,0,78,55,5.5,,5.3,4,6,6,,5.7,7,6,4,161,28,52.16,32,294,49,21.7,9,17.7,,183,19.27,240,735,169,240,276,935,180,460,,,,,,,186,26.26,1296,44.4,4.5,169,0,0,N/A,N/A,N/A,0,2,4,0,0
Angola,Sub-Saharan Africa,Upper middle income,DB2015,,37.09,,57.15,8,66,118.8,8,66,118.8,20,,66.6,10,203,0.5,6,1,1,0,2,1,1,,42.49,7,145,660,0,0,0,0,0,0,0,4.7,,40.8,7,190,3,7,1,2,0,4,,,5,1,,0,,1.8,0,,55,5.5,,5.3,4,6,6,6,5.7,7,6,4,,,58.37,32,294,52.6,25.3,9,17.7,,,19.27,240,735,169,240,276,935,180,460,10,40,2060,9,43,2725,,26.26,1296,44.4,4.5,,0,0,N/A,N/A,N/A,0,2,4,0,0
Angola,Sub-Saharan Africa,Upper middle income,DB2014,,43.03,,55.63,8,66,130.1,8,66,130.1,21.8,,75.43,10,203,0.5,,,,,,,,,56.53,7,145,689.7,,,,,,,,,,46.55,7,190,3,,,,,,,,18.75,1,3,0,0,2.4,0,,53.33,5.5,5.3,5.3,4,6,6,6,5.7,7,6,4,,,58.67,32,294,52,24.6,9,,,,40.15,,,,,,,,,10,40,2060,9,43,2725,,25.22,1296,44.4,,,0,0,N/A,N/A,N/A,0,2,4,0,0
Angola,Sub-Saharan Africa,Upper middle income,DB2013,,42.7,,53.82,8,66,143.1,8,66,143.1,24.6,,75.35,10,203,0.6,,,,,,,,,56.27,7,145,754.9,,,,,,,,,,46.41,7,190,3.1,,,,,,,,18.75,,3,,0,1.8,0,,53.33,,5.3,,4,6,,6,,,,,,,58.54,32,294,52.3,,,,,,39.34,,,,,,,,,9,48,2050,8,45,2715,,25.22,1296,44.4,,,0,0,N/A,N/A,N/A,,,,,
Angola,Sub-Saharan Africa,Upper middle income,DB2012,,40.45,,51.28,8,66,163.1,8,66,163.1,25.3,,75.19,10,203,0.7,,,,,,,,,42.57,9,159,890.5,,,,,,,,,,44.36,7,190,4,,,,,,,,18.75,,3,,0,1.8,0,,53.33,,5.3,,4,6,,6,,,,,,,58.54,32,294,52.3,,,,,,35.23,,,,,,,,,9,48,2050,8,45,2715,,25.22,1296,44.4,,,0,0,N/A,N/A,N/A,,,,,
Angola,Sub-Saharan Africa,Upper middle income,DB2011,,37.43,,46.46,8,66,226.6,8,66,226.6,28.7,,76.07,10,203,0.2,,,,,,,,,40.97,9,159,1278.5,,,,,,,,,,27.61,7,190,11.5,,,,,,,,18.75,,3,,0,2.4,0,,53.33,,5.3,,4,6,,6,,,,,,,58.55,32,294,52.2,,,,,,27.31,,,,,,,,,9,52,2050,8,49,2865,,25.22,1296,44.4,,,0,0,N/A,N/A,,,,,,
Angola,Sub-Saharan Africa,Upper middle income,DB2010,,37.53,,52.04,8,68,151.1,8,68,151.1,29,,70.15,10,265,0.1,,,,,,,,,41.71,9,159,1099.1,,,,,,,,,,27.83,7,190,11.4,,,,,,,,18.75,,3,,0,2.5,0,,53.33,,5.3,,4,6,,6,,,,,,,59.07,32,284,52.2,,,,,,25.89,,,,,,,,,9,65,2050,8,59,2865,,26.47,1250,44.4,,,0,0,N/A,N/A,,,,,,
